epoch,train_loss,train_acc,train_time_per_step,val_loss,val_acc
1,1.7633949148654935,0.495,18.20697326183319,1.3173073649406433,0.71
2,1.1602101723849774,0.735,18.26867887496948,0.9018031108379364,0.84
3,0.9918971659243108,0.78,18.09971125364304,0.9737941539287568,0.73
4,0.8151238278672099,0.805,17.74736296415329,0.9210771119222044,0.75
5,0.8832707756385207,0.775,17.856465680599214,0.7284048967063427,0.87
6,0.7836959025543183,0.805,17.695351784229278,0.6507897090911865,0.85
7,0.6198439906910062,0.86,17.67319864749909,0.4999368813633919,0.91
8,0.7337964787520468,0.82,17.671416764259337,0.7730553535372019,0.85
9,0.679005896858871,0.835,17.941855330467227,0.6080260342359542,0.87
10,0.5978005552943796,0.82,17.85062180519104,0.6753737533837557,0.8
11,0.6939334479765966,0.815,17.736119055747984,0.5426841449178755,0.88
12,0.603849407415837,0.84,17.874555740356445,0.6304854312539101,0.8
13,0.6435771565674804,0.84,17.994243359565736,0.5566283155046403,0.86
14,0.6028330883244053,0.85,17.913386290073394,0.635165190063417,0.81
15,0.5305540598579682,0.85,17.856287128925324,0.6464239886775612,0.85
16,0.5419463544758036,0.85,17.768603463172916,0.6587576127983629,0.83
17,0.6545198923256248,0.83,17.792174978256227,0.6358717494085431,0.81
18,0.5126047749258578,0.835,17.89260518312454,0.5575866762548685,0.84
19,0.4663514400692657,0.87,17.917974939346312,0.6096823813626543,0.86
20,0.6274784850794822,0.835,17.812934508323668,0.5120810429379344,0.85
21,0.5782330456143245,0.835,17.841194908618924,0.4404155220137909,0.9
22,0.479700073800559,0.875,17.795883724689485,0.678841988146305,0.78
23,0.4845157671603374,0.885,17.888972108364104,0.5395253895781934,0.87
24,0.48699548627249895,0.865,17.820289573669434,0.5340752172470092,0.85
25,0.5355872729605471,0.845,17.852695794105532,0.527128330632113,0.85
26,0.4156937796890271,0.86,17.906353945732118,0.4795369272789685,0.86
27,0.4524447249056538,0.855,17.87711359024048,0.6029358246875927,0.88
28,0.4802077785905567,0.86,17.877528710365297,0.5030600596265867,0.86
29,0.4352985779289156,0.88,17.689451012611393,0.5266933093313128,0.85
30,0.5662457966106013,0.85,17.851485276222228,0.49440324315335604,0.88
31,0.4528261273406679,0.86,17.931876950263977,0.5112420367309823,0.88
32,0.4612269119736448,0.875,17.828936011791228,0.4668722699023784,0.89
33,0.5097617624246049,0.855,17.748168680667874,0.5235205233097077,0.87
34,0.4079783619361115,0.885,17.639956233501433,0.5548410785174929,0.88
35,0.5125898822501768,0.87,17.83257124900818,0.5234636985347606,0.84
36,0.5126213876355905,0.865,17.703039548397065,0.4335702979564667,0.92
37,0.4099340520484839,0.875,17.807641713619233,0.6625527967931703,0.82
38,0.3236556841304992,0.92,17.916622500419614,0.5382756117446115,0.86
39,0.4851903827022761,0.85,17.75691810846329,0.35674192305188623,0.89
40,0.3750062518188497,0.89,17.80088027715683,0.5352298853220419,0.89
41,0.4999203762141405,0.87,17.813213529586793,0.5453966346289962,0.88
42,0.357853281123098,0.895,17.764586203098297,0.4966425419063307,0.88
43,0.41734692332625856,0.89,17.70813716650009,0.6077134441677481,0.83
44,0.4446276905480772,0.88,17.47108134508133,0.3998097669659183,0.89
45,0.4723749442816188,0.88,17.80441536664963,0.4844414969626814,0.88
46,0.4370266409748001,0.9,17.836867008209232,0.4748101427010261,0.88
47,0.4313431883347221,0.865,17.826940140724183,0.3945114398607984,0.89
48,0.3232065229106229,0.895,17.51519915342331,0.5436537972651422,0.86
49,0.31850404581025943,0.905,18.027977375984193,0.6300715780630708,0.82
50,0.4865811915020458,0.885,18.019952797889708,0.4782612154132221,0.86
